UM,REPORT
social science,"This paper considers the practical and intellectual challenges that attend efforts to integrate the social and natural sciences in environmental research, and the broader political, social and economic context in which this takes place. Based on the experiences of researchers in Australia—but with obvious relevance for researchers in many countries—it is the outcome of an interdisciplinary workshop which brought together social and natural scientists involved in environmental management. This event and the wider discussions that followed were initiated to enable researchers to exchange ideas about the obstacles to interdisciplinary collaboration, and to discuss ways to overcome these. The paper provides a summary of the issues and proposes some guidelines for interdisciplinary collaboration."
business,"The concept of business models has reached global impact, both for company's competitive success and in management science. Its application by authors from diverse areas has led to a previously very heterogeneous comprehension of the concept. Yet, by means of investigating its origin and theoretical development, we state a recently converging business model view. Further, based on analyzing business model definitions, perspectives and components in the literature, we newly define the concept and portray its essential components in an integrated framework. Finally, the compilation of the current state of business model research yields the article's main findings. In this regard, via database search we quantitatively identify 681 peer-reviewed articles. Further, we qualitatively analyze them according to individual research areas that we adopt from an appropriate heuristic frame of reference. In this way, we identify four essential research foci: innovation, change & evolution, performance & controlling and design. In triangulation with assessing future research perspectives through a survey of twenty-one international experts, they also consider the areas of innovation, change & evolution, and design to be significant for the future development of the business model research field."
science,"Weather Data Mining is  a form of Data  mining  concerned  with  finding  hidden  patterns  inside largely available meteorological data, so  that the information  retrieved  can  be transformed  into  usable knowledge. In  this  paper we used meteorological data  mining to  analyze wind  speed  behavior. The data  was  recorded  between  2004  to  November 2006  daily historical data by meteorological station of Gaza. After preprocessing the data, we applied  data  mining techniques: association rules, classification, cluster and outlier analysis. From these four tasks, we found  the most appropriate of these techniques  to  be applied  on weather data is  classification  task, especially  the neural networks  method because the nature of the data is time series."
business,"Social media use, potential and challenges in innovation have received little attention in literature, especially from the standpoint of the business-to-business sector. Therefore, this paper focuses on bridging this gap with a survey of social media use, potential and challenges, combined with a social media - focused innovation literature review of state-of-the-art. The study also studies the essential differences between business-to-consumer and business-to-business in the above respects. The paper starts by defining of social media and web 2.0, and then characterizes social media in business, social media in business-to-business sector and social media in business-to-business innovation. Finally we present and analyze the results of our empirical survey of 122 Finnish companies. This paper suggests that there is a significant gap between perceived potential of social media and social media use in innovation activity in business-to-business companies, recognizes potentially effective ways to reduce the gap, and clarifies the found differences between B2B's and B2C's"
social science,"Since 1999 blogs have become a significant feature of online culture. They have been heralded as the new guardians of democracy, a revolutionary form of bottom-up news production and a new way of constructing self and doing community in late-modern times. In this article I highlight the significance of the `blogosphere' as a new addition to the qualitative researcher's toolkit and some of the practical, theoretical and methodological issues that arise from this. Some of the key ethical issues involved in blog data collection are also considered. The research context is a project on everyday understandings and experiences of morality."
science,"Text classification approach gaining more importance because of the accessibility of large number of electronic documents from a variety of resource. Text categorization is the task of assigning predefined categories to documents. It is the method of finding interesting regularities in large textual, where
interesting means non trivial, hidden, previously unknown and potentially useful. The goal of text mining is to enable users to extract information from textual resource and deals with operation such as retrieval, classification, clustering, data mining, natural language preprocessing and machine learning
techniques together to classify different pattern. In text classification, term weighting methods design appropriate weights to the given terms to improve the text classification performance. This paper surveys of text classification, process of text classification different term weighing methods and comparisons between different classification algorithms.
"
business,"Services are produced and consumed in interaction between service providers and customers. Surprisingly, however, conceptual analyses of buyer-seller interaction have been scarce in service marketing literature. The paper introduces a preliminary conceptualization of buyer-seller interaction in professional business service industries. The framework has its origins in the interaction approach of industrial marketing as well as in social exchange and organization theories. The content of buyer-seller interaction is examined and the evolving bonds and outcomes are identified. Advantages and problems related to the framework are briefly discussed in the end of the paper."
social science,"With over 800 million active users, Facebook is changing the way hundreds of millions of people relate to one another and share information. A rapidly growing body of research has accompanied the meteoric rise of Facebook as social scientists assess the impact of Facebook on social life. In addition, researchers have recognized the utility of Facebook as a novel tool to observe behavior in a naturalistic setting, test hypotheses, and recruit participants. However, research on Facebook emanates from a wide variety of disciplines, with results being published in a broad range of journals and conference proceedings, making it difficult to keep track of various findings. And because Facebook is a relatively recent phenomenon, uncertainty still exists about the most effective ways to do Facebook research. To address these issues, the authors conducted a comprehensive literature search, identifying 412 relevant articles, which were sorted into 5 categories: descriptive analysis of users, motivations for using Facebook, identity presentation, the role of Facebook in social interactions, and privacy and information disclosure. The literature review serves as the foundation from which to assess current findings and offer recommendations to the field for future research on Facebook and online social networks more broadly."
science,"This thesis discusses the state-of heart algorithms, focusing only on those that use machine learning approach, such as neural network based NetSum, or graph representation, such as LexRank. We also present the means of evaluating summaries using ROUGE metrics. A part of the work is experimental implementation of a met hold that takes advantage of frequent patter ns extracted from text. We evaluate and compare the performance of our met hods to traditional methods found in automatic text summarization."
business,"In this article, the authors contribute to the 25th anniversary edition of Family Business Review by gleaning from a coterie of six established scholars insights related to the distinctive nature of family business research, the research designs that emanate from this distinctiveness, and their thoughts related to the direction of the field. While their insights are confirmatory to many who have contributed to the field’s strong current positioning, they serve to highlight to others the rich research opportunities that remain unexplored in the vast family business arena.

"
social science,"Age and cumulative advantage/disadvantage theory have obvious logical, theoretical, and empirical connections, because both are inherently and irreducibly related to the passage of time. Over the past 15 years, these connections have resulted in the elaboration and application of the cumulative advantage–disadvantage perspective in social gerontology, especially in relation to issues of heterogeneity and inequality. However, its theoretical origins, connections, and implications are not widely understood. This article reviews the genesis of the cumulative advantage/disadvantage perspective in studies of science, its initial articulation with structural-functionalism, and its expanding importance for gerontology. It discusses its intellectual relevance for several other established theoretical paradigms in sociology, psychology, and economics. On the basis of issues deriving from these perspectives and from the accumulating body of work on cumulative advantage and disadvantage, I identify several promising directions for further research in gerontology."
science,This paper presents a new technique for predicting wind speed and direction. This technique is based on using a linear time-series-based model relating the predicted interval to its corresponding one- and two-year old data. The accuracy of the model for predicting wind speeds and directions up to 24 h ahead have been investigate dusingtwosets of data recorded during winter and summer season at Madison weather station. Generated results are compared with their corresponding values when using The persistent model. The presented results validate the effectiveness and accuracy of the proposed prediction model for wind speed and direction.
business," Qualitative research in international business has been rare, the main research streams of the field relying more on quantitative methods. This paper first outlines why qualitative research has been scant. It then presents areas, such as theory building, where qualitative research could make a substantial contribution. Third, it reviews approaches to high standards of qualitative research and criteria for evaluating qualitative research. Finally, some possible research areas where qualitative research might prove fruitful are suggested."
social science,"Laboratory experiments are a widely used methodology for advancing causal knowledge in the physical and life sciences. With the exception of psychology, the adoption of laboratory experiments has been much slower in the social sciences, although during the past two decades the use of lab experiments has accelerated. Nonetheless, there remains considerable resistance among social scientists who argue that lab experiments lack “realism” and generalizability. In this article, we discuss the advantages and limitations of laboratory social science experiments by comparing them to research based on nonexperimental data and to field experiments. We argue that many recent objections against lab experiments are misguided and that even more lab experiments should be conducted."
science,"We consider the problem of classifying documents not by topic, but by overall sentiment, e.g., determining whether a review is positive or negative. Using movie reviews as data, we find that standard machine learning techniques definitively outperform human-produced baselines. However, the three machine learning methods we employed (Naive Bayes, maximum entropy classification, and support vector machines) do not perform as well on sentiment classification as on traditional topic-based categorization. We conclude by examining factors that make the sentiment classification problem more challenging."
business,"The purpose of this article is to stimulate new ideas for research and guide authors in developing submissions suitable to the scope and vision of the Journal of Family Business Strategy. Toward this aim, the article reviews 10 areas of research relevant to strategic thinking in family business. In each area, it reviews major contributions, highlights promising areas of inquiry, and presents a set of integrated research questions for further exploration."
social science,"This article calls for a re?conceptualization of the social sciences by asking for a cosmopolitan turn. The intellectual undertaking of redefining cosmopolitanism is a trans?disciplinary one, which includes geography, anthropology, ethnology, international relations, international law, political philosophy and political theory, and now sociology and social theory. Methodological nationalism, which subsumes society under the nation?state, has until now made this task almost impossible. The alternative, a ‘cosmopolitan outlook’, is a contested term and project. Cosmopolitanism must not be equalized with the global (or globalization), with ‘world system theory’ (Wallerstein), with ‘world polity’ (Meyer and others), or with ‘world?society’ (Luhmann). All of those concepts presuppose basic dualisms, such as domestic/foreign or national/international, which in reality have become ambiguous. Methodological cosmopolitanism opens up new horizons by demonstrating how we can make the empirical investigation of border crossings and other transnational phenomena possible."
science,"Most information retrieval systems use stopword lists and stemming algorithms. However, we have found that recognizing singular and plural nouns, verb forms,
negation, and prepositions can produce dramatically different text classification results. We present results from text classification experiments that compare relevancy signatures, which use local linguistic context, with corresponding indexing terms that do not. In two different domains, relevancy signatures produced better results than the simple indexing terms. These experiments suggest that stopword lists and stemming algorithms may remove or conflate many words that could be used to create more effective indexing terms."
business,"This thesis analyzes the effectiveness of food aid received by Ethiopia with a focus on donations from Title II aid from the U.S. Agency for International Development (USAID) and the United Nations World Food Programme (WFP). Ethiopia has faced famine and political issues for many decades and is one of the poorest countries in the world. At the same time, there is a large and growing amount of money going into Ethiopia from the United States in the form of Title II food aid, as well as aid from the World Food Programme, which necessitates an assessment of the effectiveness of this aid. By reviewing quantitative data from government organizations such as the Central Intelligence Agency, USAid, the World Food Programme, and qualitative data from the United Nations, this study assesses the effectiveness of food assistance by USAID and WFP. While a more comprehensive study would be necessary to establish causation, the data and literature reviewed here suggests that increasing food assistance has been associated with improving conditions in Ethiopia, including a decreasing malnutrition rate.

"
social science,"Conventional ways of viewing the social aspects of entrepreneurship are considered unsatisfactory; hence, this emphasis is recast in terms of the ""entrepreneurial event."" The entrepreneurial event is shaped by groupings of social variables (such as ethnic groups) and the social and cultural environment. The entrepreneurial event is denoted by initiative-taking, consolidation of resources, management, relative autonomy, and risk-taking. The proposed paradigm attempts to include all versions of the entrepreneurial event and all variables (situational, social, and individual) identified with the event. The paradigm will answer two basic questions: what brought about the life-changing event? and why this particular event? Negative information, events, or displacements often lead to entrepreneurial events. The particular action taken depends upon (1) perceptions of desirability (values), and (2) perceptions of feasibility. The utility of the paradigm lies in its application to questions of policy, historical examples, and future research. (TNM)"
science," In order to reduce human efforts, there has been increasing interest in applying active learning for training text classifiers. This paper describes a straightforward active learning heuristic, representative sampling, which explores the clustering structure of ëuncertainí documents and identifies the representative samples to query the user opinions, for the purpose of speeding up the convergence of Support Vector Machine (SVM) classifiers. Compared with other active learning algorithms, the proposed representative sampling explicitly addresses the problem of selecting more than one unlabeled documents. In an empirical study we compared representative sampling both with random sampling and with SVM active learning. The results demonstrated that representative sampling offers excellent learning performance with fewer labeled documents and thus can reduce human efforts in text classification tasks."
business,"Individuals are buying, selling, and investing in goods and services online at an increasing rate in Barnes and Noble, Inc. highly competitive market. Research tells us this trend will continue and B&N.com, a subsidiary of Barnes and Noble, Inc. will implement critical innovative components to their strategy for the goal of attaining a profit which will contribute to its growing success. B&N.com sells and accounts for their goods and services in the areas of marketing, human resources, customer service, financing, and the handling of inventory, and is developing these areas to succeed in their consumer retail markets. Interaction with primary and secondary stakeholders has been affected by online business and will continue with B&N.com's approach to serving their world wide stakeholders. The strategy that has been implemented to adapt to these changes and increase success in the fast growing technological environment is examined based on a broad review of literature in general business magazines, trade journals, newspapers, research journals, books, legitimate websites, and interactions with company representatives including a store manager, the manager of investor relations, and the director of corporate communications. Employing a case study, a brief history of Barnes and Noble, Inc. is developed, and the major events in the retail industry which led to the creation of B&N.com are analyzed. The development of B&N.com is discussed and future strategies and alternatives for the next 3 years are proposed to describe a plan for B&N.com to excel with the growing e-commerce element in their industry.

"
social science,"At 1:00 p.m. on May 24, 2017, a employee was directing a crane operator while standing inside an excavation for new cesspool installation.  The ground gave away and collapsed.  The employee fell in hole, and was engulfed.  The employee was killed. "
science,"The article examines methodological nationalism, a conceptual tendency that was central to the development of the social sciences and undermined more than a century of migration studies. Methodological nationalism is the naturalization of the global regime of nation?states by the social sciences. Transnational studies, we argue, including the study of transnational migration, is linked to periods of intense globalization such as the turn of the twenty?first century. Yet transnational studies have their own contradictions that may reintroduce methodological nationalism in other guises. In studying migration, the challenge is to avoid both extreme fluidism and the bounds of nationalist thought."
business,"People have turned to the Internet as a method of obtaining music. The craze has stirred up much controversy both in the legal and social realms. The music industry believes that the sharing of music is against the copy write laws, yet people believe that it is their right to share music with others and music will be shared with or without the use of the Internet. Many articles have been written in order to convey the controversy and the legal issues that surround the issue, but this study takes a closer look at the company in the spotlight, Napster, and a new rival, i-Tunes. It continues on to examine how such services became available and the legal battles against Napster as well as individuals for using such methods of gathering music. Moreover, it answers the question of whether people are still using free download sites, the consequences of using such sites, and finally, whether Napster and i-Tunes have discovered a successful new business."
social science,"Some ideas have dramatically more impact than others – they may overturn existing paradigms or launch new areas of scientific inquiry. Where do such high impact ideas come from? Are some search processes significantly more likely to lead to breakthrough idea generation than others? In this research, we compare “high impact” papers from the social sciences with random-but-matched articles published in the same journals in the same years. We find that search scope, search depth, and atypical connections between different research domains significantly increase a paper's impact, even when controlling for the experience and prior publishing success of the author(s)."
science,"This paper presents the methodology of Textual Content Classification, which is based on a combination of algorithms: preliminary formation of a contextual framework for the texts in particular problem area; manual creation of the Hierarchical Sentiment Dictionary (HSD) on the basis of a topically-oriented Corpus; tonality texts recognition via using HSD for analysing the documents as a collection of topically completed fragments (paragraphs). For verification of the proposed methodology, a case study of Polish-language film reviews Corpora was used. The main scientific contributions of this research are: writing style of the analyzed text determines the possibility of adaptation of the Texts Classification algorithms; Hierarchically-oriented Structure of the HSD allows customizing the classification process to qualitative recognition of text tonality in the context of individual paragraphs topics; texts of Persuasive style most often are initially empowered by authors with a certain tonality. The tone, expressed in the author's opinion, effects the qualitative indicators of sentiment recognition. Negative emotions of the author usually reduce the level of vocabulary variability as well as the variety of topics raised in the document but simultaneously increase the level of unpredictability of words contextually used with both positive and negative emotional coloring"
business,"Fidelity Investments is regarded as the leader in the financial services industry. They have managed to do this by remaining one of the most technologically advanced companies around as well as being extremely innovative. Fidelity Investments deals in outsourcing, which means Fidelity manages other companies’ payroll, retirement plans, benefits, etc. so that the other companies do not need to form an independent department to handle these issues. When a larger company wishes to have Fidelity manage these issues it is handled by the Large Plan Services segment. This presentation examines the current problems that occur from the way information is currently distributed amongst the segment’s Project Managers and cliental. It will offer answers to the problems that currently slow the flow of information throughout the segment and help make the system more efficient.

"
social science,"This paper considers the practical and intellectual challenges that attend efforts to integrate the social and natural sciences in environmental research, and the broader political, social and economic context in which this takes place. Based on the experiences of researchers in Australia—but with obvious relevance for researchers in many countries—it is the outcome of an interdisciplinary workshop which brought together social and natural scientists involved in environmental management. This event and the wider discussions that followed were initiated to enable researchers to exchange ideas about the obstacles to interdisciplinary collaboration, and to discuss ways to overcome these. The paper provides a summary of the issues and proposes some guidelines for interdisciplinary collaboration. "
science,"Automatic electrocardiogram (ECG) beat classification is essential to timely diagnosis of dangerous heart conditions. Specifically, accurate detection of premature ventricular contractions (PVCs) is imperative to prepare for the possible onset of life-threatening arrhythmias. Although many groups have developed highly accurate algorithms for detecting PVC beats, results have generally been limited to relatively small data sets. Additionally, many of the highest classification accuracies (>90%) have been achieved in experiments where training and testing sets overlapped significantly. Expanding the overall data set greatly reduces overall accuracy due to significant variation in ECG morphology among different patients. As a result, we believe that morphological information must be coupled with timing information, which is more constant among patients, in order to achieve high classification accuracy for larger data sets. With this approach, we combined wavelet-transformed ECG waves with timing information as our feature set for classification. We used select waveforms of 18 files of the MIT/BIH arrhythmia database, which provides an annotated collection of normal and arrhythmic beats, for training our neural-network classifier. We then tested the classifier on these 18 training files as well as 22 other files from the database."
business,"The purpose of this paper is to examine the relationship between awareness of autism in the general public and availability of funding for autism research. Researchers have found no source of autism in children and due to this they have also not been able to find a cure. Children are being diagnosed with autism at incredibly high rates; much higher than any other disability that afflicts children, yet it receives the least public and private funding of all of these same disabilities. There have been many steps taken recently by the government and by private institutions to increase awareness and the availability of funds for programs to help children with autism and also research to find the source and a cure for autism. This paper seeks to find the connection between awareness and availability of funding and also to identify steps that can be taken to increase both.

"
social science,"The second edition of this guide to Adam Smith's system of thought has been fully updated to reflect recent developments in Smith scholarship and Professor Skinner's experience of teaching Smith to a student audience. The material from the first edition has been extensively rewritten, and four new chapters have been added, covering Smith's essays on the exercise of human understanding, and his relationship to Francis Hutcheson, David Hume, and Sir James Steuart. Professor Skinner places Smith's system of social, and moral, science firmly within the context of contemporary British and Continental intellectual history, dealing in particular detail with the founders of the Scottish Enlightenment and with the French Physiocrats. A close reading of a broad range of texts, supported by a deep knowledge of contemporary institutional history, suggests the patters of their influence through the various recensions of Smith's extant works. The essays similarly explore Smith's own reception among his peers and successors. The essays in this volume have been developed from Professor Skinner's lecture course on `The Age and Ideas of Adam Smith', taught to senior undergraduate and graduate students in political economy. Their relevance extends out to students of economic history, philosophy, and the history of ideas in the eighteenth century, as well as to all those involved in the study of Adam Smith. Each essay can be read as a self-contained unit, supported by a full bibliography and notes; the book as a whole expounds a single coherent argument which demonstrates how Smith's works are inter-related."
science,"We trained a large, deep convolutional neural network to classify the 1.3 million high-resolution images in the LSVRC-2010 ImageNet training set into the 1000 different classes. On the test data, we achieved top-1 and top-5 error rates of 39.7\% and 18.9\% which is considerably better than the previous state-of-the-art results. The neural network, which has 60 million parameters and 500,000 neurons, consists of five convolutional layers, some of which are followed by max-pooling layers, and two globally connected layers with a final 1000-way softmax. To make training faster, we used non-saturating neurons and a very efficient GPU implementation of convolutional nets. To reduce overfitting in the globally connected layers we employed a new regularization method that proved to be very effective."
business,"The global financial crisis that began in 2007 is considered by many economists to be the worst financial crisis since the Great Depression. During this global financial meltdown the world has witnessed disastrous stock market crashes, the implosion of multiple prestigious financial institutions, and government bailouts on an unprecedented scale. Surprisingly, it is difficult to receive a straightforward explanation from the financial sector or the government regarding the causes of this financial meltdown and the lack of foresight from both private and public entities. The view expressed in this paper is that both the private sector and the government are to blame for the magnitude of the financial crisis and for the lack of accountability in the steps taken in the aftermath of the global meltdown. To support this contention, this paper will draw upon interviews conducted with individuals in the banking and investment sector, primary sources dealing with the financial crisis, and the analysis of experts in the field. This paper will concentrate on assessing the root causes of the crisis, providing a summary of the key events, evaluating both the private financial sector and government’s role in the crisis, and analyzing the current business environment. The turbulence in the financial system has affected citizens in every income bracket and field of work and we all have a vested interest in understanding the causes and consequences of these pivotal events. George Santayana famously stated that “those who cannot remember their past are condemned to repeat it”, and it is the goal of this paper to ensure not only that we remember our past, but that we understand it.

"
social science,"The replacement of appliances and other energy using products by more efficient ones is generally regarded as an effective strategy to reduce energy demand. However, the savings realized by this strategy may be lower than those theoretically expected or calculated from a technological point of view due to changes of behaviour following the acquisition. This phenomenon is known as the rebound effect. While scientists generally agree on the existence of rebound effects, size, relevance and explanations of such effects are controversially discussed. This paper discusses concepts to explain rebound effects from a psychological as well as sociological point of view. In particular, an approach which combines variables from psychological action theories with the sociological life-style concept is suggested as a framework for studying determinants of rebound effects."
science,"By replacing the sigmoid activation function often used in neural networks with an exponential function, a probabilistic neural network (PNN) that can compute nonlinear decision boundaries which approach the Bayes optimal is formed. Alternate activation functions having similar properties are also discussed. A fourlayer neural network of the type proposed can map any input pattern to any number of classifications. The decision boundaries can be modified in real-time using new data as they become available, and can be implemented using artificial hardware “neurons” that operate entirely in parallel. Provision is also made for estimating the probability and reliability of a classification as well as making the decision. The technique offers a tremendous speed advantage for problems in which the incremental adaptation time of back propagation is a significant fraction of the total computation time. For one application, the PNN paradigm was 200,000 times faster than back-propagation."
business,"In the late 1800’s the Hannaford brothers, led by their sibling Arthur opened a small fresh produce market. From there the Hannaford brothers turned a small produce market into one of the most prominent grocery stores in the New England region. The grocery industry is by no means a non-competitive industry. With the emergence of companies like Whole Foods, Trader Joe’s, Wal-Mart, and E-Commerce grocery, Hannaford needs a plan to stay on top of the grocery industry. Using research from websites, journals, and books, a case study was completed that contains a history of Hannaford Brothers and its major competitors, an analysis of their strengths, and finally recommendations of what Hannaford can do to stay on top. Hannaford has achieved a good position in the grocery industry as one in which customer service and high quality is a necessity. With their merger with Delhaize of America they have the financial backing of one of the largest food retailers in the United States. Hannaford has the unique opportunity to further develop themselves as one of the leaders in the industry while continuing to offer low prices, and venturing into new markets. Given all this Hannaford can remain among the top leaders in the grocery industry for the future.

"
social science,"A growing body of evidence supports the contention of scholarly culture theory that immersing children in book-oriented environments benefits their later educational achievement, attainment and occupational standing. These findings have been interpreted as suggesting that book-oriented socialization, indicated by home library size, equips youth with life-long tastes, skills and knowledge. However, to date, this has not been directly assessed. Here, we document advantageous effects of scholarly culture for adult literacy, adult numeracy, and adult technological problem solving. Growing up with home libraries boosts adult skills in these areas beyond the benefits accrued from parental education or own educational or occupational attainment. The effects are loglinear, with greatest returns to the growth in smaller libraries. Our evidence comes from regressions with balanced repeated replicate weights estimated on data from 31 societies which participated in the Programme for the International Assessment of Adult Competencies (PIAAC) between 2011 and 2015."
science,"In this paper, we propose a sequential learning algorithm for a neural network classifier based on human meta-cognitive learning principles. The network, referred to as Meta-cognitive Neural Network (McNN). McNN has two components, namely the cognitive component and the meta-cognitive component. A radial basis function network is the fundamental building block of the cognitive component. The meta-cognitive component controls the learning process in the cognitive component by deciding what-to-learn, when-to-learn and how-to-learn. When a sample is presented at the cognitive component of McNN, the meta-cognitive component chooses the best learning strategy for the sample using estimated class label, maximum hinge error, confidence of classifier and class-wise significance. Also sample overlapping conditions are considered in growth strategy for proper initialization of new hidden neurons. The performance of McNN classifier is evaluated using a set of benchmark classification problems from the UCI machine learning repository and two practical problems, viz., the acoustic emission for signal classification and a mammogram data set for cancer classification."
business,"The goal of this project was to establish a one to three year expansion plan for the Ja’Duke Center for the Performing Arts (JCPA). JCPA is a family owned corporation established in 2004 and is currently looking for ways to expand their company. Using case study research and presentation methods, various recommendations can be made of how to go about the expansion. Case Study method begins by researching the history of the corporation, which then aids in developing pertinent facts about the business. Then S.W.O.T. analysis is performed which focuses on the strengths, weaknesses, opportunities and threats of the company. Finally, from the facts and S.W.O.T. analysis recommendations are made in order to solve the problem of how to successfully expand the company in a one to three year time span. This case study focuses on recommendations based on the Management by Objectives theory developed by Peter Drucker. This means that the recommendations are made based on specific goals rather than different areas of business. Some of the goals include: increasing enrollment at the center by 20% each year, designing and building a 8,000 square foot facility, increasing staffing by 2 part-time employees per year, diversifying revenue by adding programs, and finally finding affordable health insurance for owners and employees.

"
social science,"Unlike traditional research on educational stratification that focuses on the pursuit of higher education, our study examines why young adults do not make the transition to college, using a nationally representative sample of college non-enrollees (N = 2640). In applying latent class analysis techniques, we identified multiple types of students who do not pursue college. One group of non-enrollees (27.6%) reports forgoing college because the economic barriers are too high – either because of college affordability or family financial responsibility. These youth had both low math test scores and low family income, and thus closely align with regression-based analyses on college enrollment that emphasize academic and economic constraints as the central barriers to educational progress. However, we also identified a second, often overlooked group of youth who had the academic preparation and family income support to enroll in higher education, but decided to forgo college because they preferred to work and to make money (18.3%). The heterogeneous motives of these youth suggest that postsecondary decisions are not always guided by academic and economic barriers, but sometimes driven by previous work experience and perceptions of local opportunities for school and work."
science,A four layer fuzzy neural network is presented to realise knowledge acquisition from input-output samples. The network parameters including the necessary membership functions of the input variables and the consequent parameters are tuned and identified using a modified particle swarm algorithm which uses each particle's best current performance of its neighbours to replace the best previous one and uses a non accumulative rate of change to replace the accumulative one for accelerating search procedure. The trained network is then pruned so that the general rules can be extracted and explained. The experimental results have shown that the similar classification rules can be obtained in comparison to that of other fuzzy neural approaches.
